UC;AREA;ANO
APA Carste de Lagoa Santa;162,89;2023
APA Cavernas do Peruaçu;260,65;2017
APA Cavernas do Peruaçu;123,91;2019
APA Cavernas do Peruaçu;85,95;2020
APA Cavernas do Peruaçu;640,73;2022
APA Cavernas do Peruaçu;388,42;2023
APA da Bacia do Rio Descoberto;1585,39;2017
APA da Bacia do Rio Descoberto;2250,46;2022
APA da Bacia do Rio Descoberto;713,05;2023
APA da Bacia do Rio Paraíba do Sul;182,09;2017
APA da Bacia do Rio Paraíba do Sul;647,04;2022
APA da Bacia do Rio Paraíba do Sul;545,34;2023
APA da Bacia do Rio Paraíba do Sul;187,92;2020
APA da Bacia do Rio São Bartolomeu;1620,04;2017
APA da Bacia do Rio São Bartolomeu;557,25;2022
APA da Bacia do Rio São Bartolomeu;184,51;2023
APA da Bacia do Rio São João/Mico-Leão-Dourado;148,56;2022
APA da Bacia do Rio São João/Mico-Leão-Dourado;530,6;2023
APA da Baleia Franca;2,72;2022
APA da Baleia Franca;106,64;2023
APA da Chapada do Araripe;0,59;2022
APA da Chapada do Araripe;172,77;2023
APA da Região Serrana de Petrópolis;549,99;2020
APA da Região Serrana de Petrópolis;236,88;2022
APA da Região Serrana de Petrópolis;165,45;2023
APA da Serra da Mantiqueira;3703,56;2017
APA da Serra da Mantiqueira;547,59;2020
APA da Serra da Mantiqueira;1586,9;2021
APA da Serra da Mantiqueira;60,63;2022
APA da Serra da Mantiqueira;247,65;2023
APA das Ilhas e Várzeas do Rio Paraná;14446,99;2012
APA das Ilhas e Várzeas do Rio Paraná;5972,3;2017
APA das Ilhas e Várzeas do Rio Paraná;1544,17;2022
APA das Ilhas e Várzeas do Rio Paraná;384,62;2023
APA das Nascentes do Rio Vermelho;7592,34;2017
APA das Nascentes do Rio Vermelho;13652,24;2022
APA das Nascentes do Rio Vermelho;1075,4;2023
APA de Cairuçu;3,81;2023
APA de Cananéia-Iguape-Peruíbe;2,71;2023
APA de Guapi-Mirim;159,61;2023
APA Delta do Parnaíba;1367,11;2017
APA Delta do Parnaíba;154,97;2022
APA do Boqueirão da Onça;1684,48;2022
APA do Boqueirão da Onça;62,67;2023
APA do Ibirapuitã;3316,9;2022
APA do Ibirapuitã;31,67;2023
APA do Morro da Pedreira;9821,64;2011
APA do Planalto Central;13509,7;2017
APA do Planalto Central;19507,94;2022
APA do Planalto Central;9518,01;2023
APA do Tapajós;598,94;2012
APA do Tapajós;1049,67;2023
APA dos Meandros do Rio Araguaia;119319,47;2007
APA dos Meandros do Rio Araguaia;151619,37;2010
APA dos Meandros do Rio Araguaia;82626,45;2012
APA Meandros do Rio Araguaia;114142,61;2017
APA Meandros do Rio Araguaia;35269,48;2022
APA Meandros do Rio Araguaia;59709,5;2023
APA Morro da Pedreira;1107,72;2012
APA Morro da Pedreira;6668,97;2015
APA Morro da Pedreira;5852,61;2016
APA Morro da Pedreira;360,29;2017
APA Morro da Pedreira;4977,37;2022
APA Morro da Pedreira;250,83;2023
APA Serra da Ibiapaba;5102,34;2022
APA Serra da Ibiapaba;10968,44;2023
APA Serra da Tabatinga;72,52;2022
APA Serra de Ibiapaba;9986,08;2017
ARIE Seringal Nova Esperança;1,29;2023
ARIE Serra da Abelha/Rio da Prata;1,97;2023
ESEC da Mata Preta;8,42;2022
ESEC da Serra das Araras;2450,41;2017
ESEC da Serra das Araras;3482,47;2019
ESEC da Serra das Araras;22664,36;2020
ESEC da Serra das Araras;844,2;2022
ESEC da Serra das Araras;1688,52;2023
ESEC da Terra do Meio;6967,8;2010
ESEC da Terra do Meio;787,1;2011
ESEC da Terra do Meio;2136,93;2012
ESEC da Terra do Meio;766,64;2014
ESEC da Terra do Meio;2599,19;2015
ESEC da Terra do Meio;347,82;2016
ESEC da Terra do Meio;8815,15;2017
ESEC da Terra do Meio;365,32;2018
ESEC da Terra do Meio;8201,56;2019
ESEC da Terra do Meio;8466,72;2020
ESEC da Terra do Meio;8117,58;2021
ESEC da Terra do Meio;2941,72;2022
ESEC da Terra do Meio;355,16;2023
ESEC de Aiuaba;144,91;2019
ESEC de Aiuaba;60,14;2023
ESEC de Caracaraí;291,73;2014
ESEC de Caracaraí;3975,51;2015
ESEC de Caracaraí;731,39;2016
ESEC de Cuniã;7559,3;2010
ESEC de Cuniã;672,78;2012
ESEC de Cuniã;4451,25;2013
ESEC de Cuniã;1088,56;2018
ESEC de Cuniã;719,44;2019
ESEC de Cuniã;832,14;2020
ESEC de Cuniã;5145,33;2022
ESEC de Cuniã;1043,96;2023
ESEC de Iquê;440,36;2017
ESEC de Niquiá;71161,66;2018
ESEC de Taiamã;1107,51;2011
ESEC de Taiamã;3996,83;2020
ESEC de Uruçuí-Una;17915,96;2021
ESEC de Uruçuí-Una;47069,58;2007
ESEC de Uruçuí-Una;68515,57;2010
ESEC de Uruçuí-Una;16543,78;2011
ESEC de Uruçuí-Una;65507,65;2012
ESEC de Uruçuí-Una;12267,56;2013
ESEC de Uruçuí-Una;34874,47;2014
ESEC de Uruçuí-Una;59146,66;2015
ESEC de Uruçuí-Una;28439,7;2016
ESEC de Uruçuí-Una;27425,19;2017
ESEC de Uruçuí-Una;19132,68;2018
ESEC de Uruçuí-Una;39195,46;2019
ESEC de Uruçuí-Una;43551,23;2020
ESEC de Uruçuí-Una;40106,75;2022
ESEC de Uruçuí-Una;40073,58;2023
ESEC do Castanhão;1513,11;2018
ESEC do Castanhão;5,1;2023
ESEC do Taim;3930,44;2013
ESEC do Taim;12096,25;2022
ESEC Niquiá;5454,28;2023
ESEC Raso da Catarina;1758,15;2015
ESEC Raso da Catarina;436,74;2021
ESEC Serra Geral do Tocantins;349863,8;2007
ESEC Serra Geral do Tocantins;303965,28;2010
ESEC Serra Geral do Tocantins;251539,07;2012
ESEC Serra Geral do Tocantins;192624,89;2013
ESEC Serra Geral do Tocantins;286303,73;2014
ESEC Serra Geral do Tocantins;233367,83;2015
ESEC Serra Geral do Tocantins;229960,22;2016
ESEC Serra Geral do Tocantins;185744,07;2017
ESEC Serra Geral do Tocantins;141042,17;2018
ESEC Serra Geral do Tocantins;172347,32;2019
ESEC Serra Geral do Tocantins;261143,22;2020
ESEC Serra Geral do Tocantins;83000,11;2021
ESEC Serra Geral do Tocantins;297816,73;2022
ESEC Serra Geral do Tocantins;172718,77;2023
ESEC Serra Geral do Tocantins;185084,29;2011
FLONA da Mata Grande;258,75;2023
FLONA de Altamira;4890,98;2010
FLONA de Altamira;3389,27;2012
FLONA de Altamira;3284,53;2014
FLONA de Altamira;3223,06;2015
FLONA de Altamira;3586,42;2016
FLONA de Altamira;5562,93;2017
FLONA de Altamira;306,78;2018
FLONA de Altamira;10089,86;2019
FLONA de Altamira;10442,97;2020
